Unnamed: 0,Density_@5mi,State/Province_Encoded,Price_Range_Encoded,Instagram_Followers,Facebook_Followers,Google_Review_Score,OpenTable_Review_Score,TripAdvisor_Review_Score,Facebook_Review_Score,DoorDash_Review_Score,Google_Total_Reviews,TripAdvisor_Total_Reviews,OpenTable_Total_Reviews,Facebook_Total_Reviews,DoorDash_Total_Reviews,Tech_Preferred_Google,Tech_Preferred_Facebook,Tech_Preferred_Toast,Tech_Preferred_Instagram,Tech_Preferred_DoorDash,Tech_Preferred_OpenTable,Tech_Preferred_Square,Tech_Preferred_Stripe,Tech_Preferred_SpotOn,Tech_Preferred_Aloha,Tech_Preferred_Heartland,Tech_Preferred_Clover,Tech_Preferred_Symphony,Tech_Preferred_Deliverect,Tech_Competitor_ezCater,Tech_Competitor_Chownow,Tech_Competitor_Spothopper,Tech_Competitor_Menufy,Tech_Competitor_Olo,Tech_Competitor_Bentobox,Tech_Competitor_MailChimp,Tech_Competitor_HungerRush,Tech_Competitor_Incentivio,Tech_Competitor_Owner,Tech_Competitor_Klaviyo,Tech_Competitor_Chowly,Tech_Overlapping_Uber_Eats,Tech_Overlapping_Grubhub,Tech_Overlapping_Seamless,Tech_Overlapping_Postmates,Tech_Overlapping_Caviar,Tech_Overlapping_Paytronix,Cusine_North_American,Cusine_European,Cusine_Latin_American,Cusine_Asian,Business_Type_Restaurant,Business_Type_Drinking_Place,Business_Type_Quick_Service,Business_Type_Cafe
7856,307,35,2,434.0,8700.0,4.6,0.0,4.5,0.0,0.0,1194.0,83.0,0.0,773.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
5898,46,10,0,16903.0,2426.0,4.5,0.0,0.0,4.1,4.6,2843.0,365.0,0.0,746.0,4324.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0
3060,330,33,2,1940.0,1022.0,4.3,0.0,3.5,4.0,4.5,484.0,57.0,0.0,45.0,49.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0
3075,949,41,2,0.0,5500.0,4.4,0.0,0.0,4.0,4.7,1429.0,105.0,0.0,726.0,330.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
8302,1547,4,3,6093.0,2200.0,4.4,0.0,4.0,0.0,4.4,998.0,7.0,0.0,920.0,50.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8286,1745,9,0,474.0,0.0,4.3,0.0,4.5,0.0,4.4,282.0,10.0,0.0,0.0,174.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
1373,527,6,3,2153.0,796.0,4.5,0.0,0.0,0.0,4.7,140.0,18.0,0.0,9.0,338.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
4175,228,4,0,0.0,394.0,4.1,0.0,0.0,4.8,4.7,263.0,0.0,0.0,13.0,660.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1740,1343,44,0,0.0,0.0,4.5,0.0,0.0,0.0,3.9,218.0,0.0,0.0,0.0,55.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
8886,21,14,0,0.0,7390.0,4.8,0.0,4.5,5.0,0.0,240.0,11.0,0.0,75.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0
5929,3596,48,0,0.0,24000.0,4.2,0.0,4.0,0.0,4.4,11331.0,3577.0,0.0,786.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1836,2747,5,1,0.0,0.0,4.7,0.0,0.0,0.0,0.0,301.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2936,360,24,0,0.0,5700.0,4.6,0.0,4.5,0.0,0.0,1126.0,175.0,0.0,368.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
773,851,33,0,0.0,0.0,4.1,0.0,3.5,0.0,4.5,513.0,13.0,0.0,0.0,3195.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0
6944,211,43,0,1375.0,0.0,4.3,0.0,0.0,0.0,4.6,765.0,68.0,0.0,0.0,1207.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0
7402,317,35,2,3626.0,229.0,4.2,0.0,0.0,0.0,4.6,100.0,0.0,0.0,0.0,658.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0
9090,22,24,4,103123.0,0.0,3.7,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4951,123,32,1,1182.0,0.0,4.9,0.0,5.0,0.0,0.0,38.0,2.0,0.0,0.0,0.0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,1034,2,0,307.0,1000.0,4.4,0.0,0.0,0.0,4.4,1259.0,71.0,0.0,332.0,3860.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1
7913,1271,23,0,0.0,0.0,4.1,0.0,4.5,0.0,4.8,28.0,0.0,0.0,0.0,98.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1
5712,4419,21,2,5613.0,2505.0,3.9,4.8,3.5,4.4,4.3,816.0,15.0,6.0,76.0,718.0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0
3023,127,33,0,0.0,2872.0,4.5,0.0,0.0,4.6,4.5,2377.0,263.0,0.0,192.0,33.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
216,3527,48,2,545.0,1412.0,4.2,4.1,0.0,4.3,4.5,1568.0,115.0,48.0,129.0,8420.0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0
482,6136,4,2,23201.0,5400.0,4.3,4.7,4.0,0.0,4.5,677.0,62.0,1081.0,375.0,884.0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0
1595,406,4,1,10815.0,3200.0,4.4,4.7,0.0,0.0,4.5,565.0,77.0,1574.0,503.0,378.0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
5192,5490,32,1,0.0,0.0,3.9,4.1,0.0,0.0,3.0,1398.0,16.0,1108.0,0.0,1.0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0
